iteration,effective_moves,value_confidence
0,17.9728,0.1647
1,17.7544,0.2623
2,16.7523,0.2737
3,15.6718,0.3660
4,14.3128,0.3755
5,13.5918,0.4223
6,13.7385,0.4606
7,12.4940,0.4019
8,12.7972,0.3981
9,11.3746,0.3891
10,10.1303,0.4420
11,9.2744,0.4886
12,8.6104,0.5189
13,8.1377,0.4734
14,8.0384,0.5505
15,7.9798,0.5695
16,7.7213,0.5870
17,6.6471,0.6739
18,7.3745,0.6485
19,7.0523,0.7071
20,7.1214,0.7192
21,6.8739,0.7278
22,6.1660,0.7644
23,6.2670,0.7865
24,5.8200,0.7687
25,5.8752,0.8294
26,6.6046,0.7854
27,6.2331,0.8327
28,6.1648,0.8426
29,5.6987,0.9035
30,6.0581,0.8791
31,6.1806,0.8354
32,6.4735,0.8205
33,6.2831,0.7934
34,6.1896,0.8252
35,5.9910,0.8466
36,6.1049,0.9009
37,5.8794,0.9131
38,5.9930,0.8865
39,6.2319,0.9142
40,6.3122,0.8769
41,6.4044,0.9191
42,6.3499,0.9388
43,6.2271,0.9105
44,6.1949,0.9246
45,6.4922,0.9348
46,6.4296,0.9347
47,6.4372,0.9331
48,6.3418,0.9006
49,6.5967,0.9438
50,6.6324,0.9386
51,6.6996,0.9391
52,6.5268,0.9501
53,6.4330,0.9598
54,6.5186,0.9458
55,6.6552,0.9414
56,6.7394,0.9400
57,6.5476,0.9436
58,6.5784,0.9570
59,6.5760,0.9283
60,6.8471,0.9451
61,6.9052,0.9451
62,7.4342,0.9418
63,6.7330,0.9617
64,7.2118,0.9348
65,6.6333,0.9278
66,7.0891,0.9601
67,7.0657,0.9439
68,7.0585,0.9102
69,7.0321,0.9185
70,7.3847,0.8870
71,7.7186,0.8495
72,7.0603,0.8704
73,6.9735,0.9219
74,7.0524,0.8802
75,6.9542,0.9053
76,6.3808,0.9140
77,7.1072,0.9097
78,6.5114,0.9037
79,6.7699,0.9418
80,6.7969,0.9148
81,6.8039,0.9517
82,6.1621,0.9384
83,6.7342,0.9610
84,6.5730,0.9348
85,5.7189,0.9360
86,6.2743,0.9399
87,6.9313,0.9236
88,6.2122,0.9335
89,5.7842,0.9514
90,6.9278,0.9316
91,6.4650,0.9488
92,6.5833,0.9609
93,6.7926,0.9617
94,6.5141,0.9705
95,7.1648,0.9646
96,7.1288,0.9550
97,6.9558,0.9534
98,6.9103,0.9350
99,7.5817,0.9491
