white,black,opening,white_won
v1-original,v2-buffer,20,0
v2-buffer,v1-original,20,1
v1-original,v2-buffer,21,0
v2-buffer,v1-original,21,0
v1-original,v2-buffer,14,0
v2-buffer,v1-original,14,1
v1-original,v2-buffer,15,0
v2-buffer,v1-original,15,0
v1-original,v2-buffer,0,0
v2-buffer,v1-original,0,0
v1-original,v2-buffer,1,0
v2-buffer,v1-original,1,0
v1-original,v2-buffer,8,1
v2-buffer,v1-original,8,1
v1-original,v2-buffer,9,0
v2-buffer,v1-original,9,1
v1-original,v2-buffer,10,0
v2-buffer,v1-original,10,1
v1-original,v2-buffer,11,1
v2-buffer,v1-original,11,1
v1-original,v2-buffer,4,1
v2-buffer,v1-original,4,0
v1-original,v2-buffer,5,1
v2-buffer,v1-original,5,0
v1-original,v2-buffer,16,1
v2-buffer,v1-original,16,1
v1-original,v2-buffer,17,1
v2-buffer,v1-original,17,0
v1-original,v2-buffer,12,0
v2-buffer,v1-original,12,1
v1-original,v2-buffer,13,0
v2-buffer,v1-original,13,1
v1-original,v2-buffer,2,0
v2-buffer,v1-original,2,1
v1-original,v2-buffer,3,0
v2-buffer,v1-original,3,0
v1-original,v2-buffer,6,1
v2-buffer,v1-original,6,0
v1-original,v2-buffer,7,1
v2-buffer,v1-original,7,0
v1-original,v2-buffer,18,0
v2-buffer,v1-original,18,0
v1-original,v2-buffer,19,0
v2-buffer,v1-original,19,0
v1-original,v2-buffer,22,0
v2-buffer,v1-original,22,0
v1-original,v2-buffer,23,0
v2-buffer,v1-original,23,1
v1-original,v3-iter25,7,0
v3-iter25,v1-original,7,0
v1-original,v3-iter25,8,0
v3-iter25,v1-original,8,1
v1-original,v3-iter25,3,0
v3-iter25,v1-original,3,1
v1-original,v3-iter25,4,0
v3-iter25,v1-original,4,1
v1-original,v3-iter25,1,0
v3-iter25,v1-original,1,1
v1-original,v3-iter25,2,0
v3-iter25,v1-original,2,1
v1-original,v2-buffer,24,0
v2-buffer,v1-original,24,0
v1-original,v3-iter25,0,0
v3-iter25,v1-original,0,1
v1-original,v3-iter25,17,0
v3-iter25,v1-original,17,0
v1-original,v3-iter25,18,0
v3-iter25,v1-original,18,1
v1-original,v3-iter25,11,0
v3-iter25,v1-original,11,1
v1-original,v3-iter25,12,0
v3-iter25,v1-original,12,1
v1-original,v3-iter25,13,0
v3-iter25,v1-original,13,1
v1-original,v3-iter25,14,0
v3-iter25,v1-original,14,1
v1-original,v3-iter25,19,0
v3-iter25,v1-original,19,1
v1-original,v3-iter25,20,0
v3-iter25,v1-original,20,1
v1-original,v3-iter25,9,0
v3-iter25,v1-original,9,1
v1-original,v3-iter25,10,0
v3-iter25,v1-original,10,1
v1-original,v3-iter25,5,0
v3-iter25,v1-original,5,1
v1-original,v3-iter25,6,0
v3-iter25,v1-original,6,1
v1-original,v3-iter25,15,0
v3-iter25,v1-original,15,1
v1-original,v3-iter25,16,0
v3-iter25,v1-original,16,1
v1-original,v3-iter25,21,0
v3-iter25,v1-original,21,1
v1-original,v3-iter25,22,0
v3-iter25,v1-original,22,1
v1-original,v3-iter50,10,0
v3-iter50,v1-original,10,1
v1-original,v3-iter50,11,0
v3-iter50,v1-original,11,1
v1-original,v3-iter25,23,0
v3-iter25,v1-original,23,1
v1-original,v3-iter25,24,0
v3-iter25,v1-original,24,1
v1-original,v3-iter50,0,0
v3-iter50,v1-original,0,1
v1-original,v3-iter50,1,0
v3-iter50,v1-original,1,1
v1-original,v3-iter50,2,0
v3-iter50,v1-original,2,1
v1-original,v3-iter50,3,0
v3-iter50,v1-original,3,1
v1-original,v3-iter50,14,0
v3-iter50,v1-original,14,1
v1-original,v3-iter50,15,0
v3-iter50,v1-original,15,1
v1-original,v3-iter50,4,0
v3-iter50,v1-original,4,1
v1-original,v3-iter50,5,0
v3-iter50,v1-original,5,1
v1-original,v3-iter50,12,0
v3-iter50,v1-original,12,1
v1-original,v3-iter50,13,0
v3-iter50,v1-original,13,1
v1-original,v3-iter50,8,0
v3-iter50,v1-original,8,1
v1-original,v3-iter50,9,0
v3-iter50,v1-original,9,1
v1-original,v3-iter50,18,0
v3-iter50,v1-original,18,1
v1-original,v3-iter50,19,0
v3-iter50,v1-original,19,1
v1-original,v3-iter50,6,0
v3-iter50,v1-original,6,1
v1-original,v3-iter50,7,0
v3-iter50,v1-original,7,1
v1-original,v3-iter50,16,0
v3-iter50,v1-original,16,1
v1-original,v3-iter50,17,0
v3-iter50,v1-original,17,1
v1-original,v3-iter50,20,0
v3-iter50,v1-original,20,1
v1-original,v3-iter50,21,0
v3-iter50,v1-original,21,0
v1-original,v3-iter50,22,0
v3-iter50,v1-original,22,1
v1-original,v3-iter50,23,0
v3-iter50,v1-original,23,1
v1-original,v3-final,1,0
v3-final,v1-original,1,0
v1-original,v3-final,2,0
v3-final,v1-original,2,1
v1-original,v3-final,11,0
v3-final,v1-original,11,1
v1-original,v3-final,12,0
v3-final,v1-original,12,1
v1-original,v3-final,7,0
v3-final,v1-original,7,1
v1-original,v3-final,8,0
v3-final,v1-original,8,1
v1-original,v3-final,13,0
v3-final,v1-original,13,1
v1-original,v3-final,14,0
v3-final,v1-original,14,1
v1-original,v3-final,9,0
v3-final,v1-original,9,1
v1-original,v3-final,10,0
v3-final,v1-original,10,1
v1-original,v3-iter50,24,0
v3-iter50,v1-original,24,1
v1-original,v3-final,0,0
v3-final,v1-original,0,1
v1-original,v3-final,5,0
v3-final,v1-original,5,1
v1-original,v3-final,6,0
v3-final,v1-original,6,1
v1-original,v3-final,3,0
v3-final,v1-original,3,1
v1-original,v3-final,4,0
v3-final,v1-original,4,1
v1-original,v3-final,17,0
v3-final,v1-original,17,1
v1-original,v3-final,18,0
v3-final,v1-original,18,1
v1-original,v3-final,15,0
v3-final,v1-original,15,1
v1-original,v3-final,16,0
v3-final,v1-original,16,1
v1-original,dijkstra,0,1
dijkstra,v1-original,0,0
v1-original,dijkstra,1,1
dijkstra,v1-original,1,0
v1-original,dijkstra,6,1
dijkstra,v1-original,6,0
v1-original,dijkstra,7,1
dijkstra,v1-original,7,0
v1-original,dijkstra,4,1
dijkstra,v1-original,4,0
v1-original,dijkstra,5,1
dijkstra,v1-original,5,0
v1-original,v3-final,19,0
v3-final,v1-original,19,1
v1-original,v3-final,20,0
v3-final,v1-original,20,1
v1-original,dijkstra,2,0
dijkstra,v1-original,2,0
v1-original,dijkstra,3,0
dijkstra,v1-original,3,0
v1-original,dijkstra,10,1
dijkstra,v1-original,10,0
v1-original,dijkstra,11,0
dijkstra,v1-original,11,0
v1-original,dijkstra,12,1
dijkstra,v1-original,12,0
v1-original,dijkstra,13,1
dijkstra,v1-original,13,0
v1-original,dijkstra,8,1
dijkstra,v1-original,8,0
v1-original,dijkstra,9,0
dijkstra,v1-original,9,0
v1-original,dijkstra,14,1
dijkstra,v1-original,14,0
v1-original,dijkstra,15,1
dijkstra,v1-original,15,0
v1-original,dijkstra,18,0
dijkstra,v1-original,18,0
v1-original,dijkstra,19,1
dijkstra,v1-original,19,0
v1-original,dijkstra,16,0
dijkstra,v1-original,16,0
v1-original,dijkstra,17,0
dijkstra,v1-original,17,0
v1-original,dijkstra,22,0
dijkstra,v1-original,22,0
v1-original,dijkstra,23,0
dijkstra,v1-original,23,0
v1-original,dijkstra,20,1
dijkstra,v1-original,20,0
v1-original,dijkstra,21,0
dijkstra,v1-original,21,0
v1-original,v3-final,21,0
v3-final,v1-original,21,1
v1-original,v3-final,22,0
v3-final,v1-original,22,1
v1-original,v3-final,23,0
v3-final,v1-original,23,1
v1-original,v3-final,24,0
v3-final,v1-original,24,1
v1-original,dijkstra,24,1
dijkstra,v1-original,24,0
v2-buffer,v3-iter25,0,0
v3-iter25,v2-buffer,0,0
v2-buffer,v3-iter25,1,0
v3-iter25,v2-buffer,1,0
v2-buffer,v3-iter25,2,0
v3-iter25,v2-buffer,2,0
v2-buffer,v3-iter25,3,0
v3-iter25,v2-buffer,3,0
v2-buffer,v3-iter25,4,0
v3-iter25,v2-buffer,4,1
v2-buffer,v3-iter25,5,0
v3-iter25,v2-buffer,5,1
v2-buffer,v3-iter25,6,0
v3-iter25,v2-buffer,6,1
v2-buffer,v3-iter25,7,0
v3-iter25,v2-buffer,7,1
v2-buffer,v3-iter25,8,1
v3-iter25,v2-buffer,8,1
v2-buffer,v3-iter25,9,0
v3-iter25,v2-buffer,9,1
v2-buffer,v3-iter25,10,0
v3-iter25,v2-buffer,10,0
v2-buffer,v3-iter25,13,0
v3-iter25,v2-buffer,13,1
v2-buffer,v3-iter25,14,0
v3-iter25,v2-buffer,14,1
v2-buffer,v3-iter25,15,0
v3-iter25,v2-buffer,15,1
v2-buffer,v3-iter25,16,1
v3-iter25,v2-buffer,16,1
v2-buffer,v3-iter25,19,0
v3-iter25,v2-buffer,19,1
v2-buffer,v3-iter25,20,0
v3-iter25,v2-buffer,20,1
v2-buffer,v3-iter25,17,0
v3-iter25,v2-buffer,17,0
v2-buffer,v3-iter25,18,0
v3-iter25,v2-buffer,18,1
v2-buffer,v3-iter25,11,0
v3-iter25,v2-buffer,11,1
v2-buffer,v3-iter25,12,0
v3-iter25,v2-buffer,12,1
v2-buffer,v3-iter25,21,0
v3-iter25,v2-buffer,21,0
v2-buffer,v3-iter25,22,0
v3-iter25,v2-buffer,22,0
v2-buffer,v3-iter25,23,0
v3-iter25,v2-buffer,23,1
v2-buffer,v3-iter25,24,0
v3-iter25,v2-buffer,24,0
v2-buffer,v3-iter50,0,0
v3-iter50,v2-buffer,0,0
v2-buffer,v3-iter50,1,0
v3-iter50,v2-buffer,1,0
v2-buffer,v3-iter50,2,0
v3-iter50,v2-buffer,2,1
v2-buffer,v3-iter50,3,0
v3-iter50,v2-buffer,3,0
v2-buffer,v3-iter50,8,1
v3-iter50,v2-buffer,8,1
v2-buffer,v3-iter50,9,0
v3-iter50,v2-buffer,9,1
v2-buffer,v3-iter50,4,0
v3-iter50,v2-buffer,4,1
v2-buffer,v3-iter50,5,0
v3-iter50,v2-buffer,5,1
v2-buffer,v3-iter50,6,0
v3-iter50,v2-buffer,6,1
v2-buffer,v3-iter50,7,0
v3-iter50,v2-buffer,7,1
v2-buffer,v3-iter50,14,0
v3-iter50,v2-buffer,14,1
v2-buffer,v3-iter50,15,0
v3-iter50,v2-buffer,15,1
v2-buffer,v3-iter50,20,0
v3-iter50,v2-buffer,20,1
v2-buffer,v3-iter50,21,0
v3-iter50,v2-buffer,21,0
v2-buffer,v3-iter50,12,0
v3-iter50,v2-buffer,12,1
v2-buffer,v3-iter50,13,0
v3-iter50,v2-buffer,13,1
v2-buffer,v3-iter50,16,1
v3-iter50,v2-buffer,16,1
v2-buffer,v3-iter50,17,0
v3-iter50,v2-buffer,17,1
v2-buffer,v3-iter50,10,0
v3-iter50,v2-buffer,10,1
v2-buffer,v3-iter50,11,0
v3-iter50,v2-buffer,11,1
v2-buffer,v3-iter50,18,0
v3-iter50,v2-buffer,18,1
v2-buffer,v3-iter50,19,0
v3-iter50,v2-buffer,19,1
v2-buffer,v3-iter50,22,0
v3-iter50,v2-buffer,22,0
v2-buffer,v3-iter50,23,0
v3-iter50,v2-buffer,23,1
v2-buffer,v3-iter50,24,0
v3-iter50,v2-buffer,24,1
v2-buffer,v3-final,0,0
v3-final,v2-buffer,0,0
v2-buffer,v3-final,3,0
v3-final,v2-buffer,3,0
v2-buffer,v3-final,4,0
v3-final,v2-buffer,4,1
v2-buffer,v3-final,1,0
v3-final,v2-buffer,1,0
v2-buffer,v3-final,2,0
v3-final,v2-buffer,2,0
v2-buffer,v3-final,7,0
v3-final,v2-buffer,7,1
v2-buffer,v3-final,8,1
v3-final,v2-buffer,8,1
v2-buffer,v3-final,15,0
v3-final,v2-buffer,15,1
v2-buffer,v3-final,16,1
v3-final,v2-buffer,16,1
v2-buffer,v3-final,5,0
v3-final,v2-buffer,5,1
v2-buffer,v3-final,6,0
v3-final,v2-buffer,6,1
v2-buffer,v3-final,9,0
v3-final,v2-buffer,9,1
v2-buffer,v3-final,10,0
v3-final,v2-buffer,10,1
v2-buffer,v3-final,11,0
v3-final,v2-buffer,11,1
v2-buffer,v3-final,12,0
v3-final,v2-buffer,12,1
v2-buffer,dijkstra,0,1
dijkstra,v2-buffer,0,0
v2-buffer,dijkstra,1,1
dijkstra,v2-buffer,1,0
v2-buffer,dijkstra,2,0
dijkstra,v2-buffer,2,0
v2-buffer,dijkstra,3,1
dijkstra,v2-buffer,3,0
v2-buffer,v3-final,17,0
v3-final,v2-buffer,17,1
v2-buffer,v3-final,18,0
v3-final,v2-buffer,18,1
v2-buffer,v3-final,13,0
v3-final,v2-buffer,13,1
v2-buffer,v3-final,14,0
v3-final,v2-buffer,14,1
v2-buffer,v3-final,21,0
v3-final,v2-buffer,21,0
v2-buffer,v3-final,22,0
v3-final,v2-buffer,22,1
v2-buffer,v3-final,19,0
v3-final,v2-buffer,19,1
v2-buffer,v3-final,20,0
v3-final,v2-buffer,20,1
v2-buffer,dijkstra,4,1
dijkstra,v2-buffer,4,0
v2-buffer,dijkstra,5,1
dijkstra,v2-buffer,5,0
v2-buffer,dijkstra,10,1
dijkstra,v2-buffer,10,0
v2-buffer,dijkstra,11,1
dijkstra,v2-buffer,11,0
v2-buffer,dijkstra,8,1
dijkstra,v2-buffer,8,0
v2-buffer,dijkstra,9,1
dijkstra,v2-buffer,9,0
v2-buffer,dijkstra,16,1
dijkstra,v2-buffer,16,1
v2-buffer,dijkstra,17,0
dijkstra,v2-buffer,17,0
v2-buffer,dijkstra,12,1
dijkstra,v2-buffer,12,1
v2-buffer,dijkstra,13,1
dijkstra,v2-buffer,13,0
v2-buffer,dijkstra,14,1
dijkstra,v2-buffer,14,0
v2-buffer,dijkstra,15,1
dijkstra,v2-buffer,15,1
v2-buffer,dijkstra,6,1
dijkstra,v2-buffer,6,0
v2-buffer,dijkstra,7,1
dijkstra,v2-buffer,7,0
v2-buffer,dijkstra,18,0
dijkstra,v2-buffer,18,0
v2-buffer,dijkstra,19,1
dijkstra,v2-buffer,19,0
v2-buffer,v3-final,23,0
v3-final,v2-buffer,23,1
v2-buffer,v3-final,24,0
v3-final,v2-buffer,24,1
v2-buffer,dijkstra,20,1
dijkstra,v2-buffer,20,1
v2-buffer,dijkstra,21,1
dijkstra,v2-buffer,21,0
v2-buffer,dijkstra,22,0
dijkstra,v2-buffer,22,0
v2-buffer,dijkstra,23,0
dijkstra,v2-buffer,23,0
v2-buffer,dijkstra,24,1
dijkstra,v2-buffer,24,0
v3-iter25,v3-iter50,0,0
v3-iter50,v3-iter25,0,0
v3-iter25,v3-iter50,1,0
v3-iter50,v3-iter25,1,0
v3-iter25,v3-iter50,2,0
v3-iter50,v3-iter25,2,0
v3-iter25,v3-iter50,3,0
v3-iter50,v3-iter25,3,0
v3-iter25,v3-iter50,4,1
v3-iter50,v3-iter25,4,1
v3-iter25,v3-iter50,9,0
v3-iter50,v3-iter25,9,1
v3-iter25,v3-iter50,10,0
v3-iter50,v3-iter25,10,1
v3-iter25,v3-iter50,19,1
v3-iter50,v3-iter25,19,1
v3-iter25,v3-iter50,20,1
v3-iter50,v3-iter25,20,1
v3-iter25,v3-iter50,17,0
v3-iter50,v3-iter25,17,1
v3-iter25,v3-iter50,18,1
v3-iter50,v3-iter25,18,1
v3-iter25,v3-iter50,7,0
v3-iter50,v3-iter25,7,1
v3-iter25,v3-iter50,8,1
v3-iter50,v3-iter25,8,1
v3-iter25,v3-iter50,21,0
v3-iter50,v3-iter25,21,0
v3-iter25,v3-iter50,22,0
v3-iter50,v3-iter25,22,0
v3-iter25,v3-iter50,5,1
v3-iter50,v3-iter25,5,1
v3-iter25,v3-iter50,6,1
v3-iter50,v3-iter25,6,1
v3-iter25,v3-iter50,11,1
v3-iter50,v3-iter25,11,1
v3-iter25,v3-iter50,12,1
v3-iter50,v3-iter25,12,1
v3-iter25,v3-iter50,13,1
v3-iter50,v3-iter25,13,1
v3-iter25,v3-iter50,14,0
v3-iter50,v3-iter25,14,0
v3-iter25,v3-iter50,15,1
v3-iter50,v3-iter25,15,1
