iteration,epoch,policy_loss,value_loss
0,0,3.217601,0.981144
0,1,3.213552,0.913506
1,0,3.202586,0.935793
1,1,3.159734,0.875461
2,0,3.095076,0.821320
2,1,3.053986,0.759713
3,0,3.003567,0.741134
3,1,2.949369,0.702693
4,0,2.855437,0.722172
4,1,2.777975,0.692986
5,0,2.691990,0.716450
5,1,2.632631,0.683589
6,0,2.567223,0.680373
6,1,2.529896,0.663270
7,0,2.485636,0.680913
7,1,2.459473,0.654723
8,0,2.429644,0.674144
8,1,2.409315,0.662655
9,0,2.381950,0.659958
9,1,2.364691,0.634921
10,0,2.256335,0.643030
10,1,2.238316,0.617527
11,0,2.180070,0.621599
11,1,2.164546,0.602380
12,0,2.119267,0.597517
12,1,2.105500,0.583504
13,0,2.083463,0.587955
13,1,2.075868,0.578083
14,0,2.065710,0.567312
14,1,2.057970,0.557743
15,0,2.040554,0.528309
15,1,2.031362,0.512671
16,0,2.021312,0.518392
16,1,2.014041,0.502651
17,0,2.002877,0.475336
17,1,1.994976,0.464746
18,0,1.989310,0.442558
18,1,1.982625,0.426814
19,0,1.980239,0.424367
19,1,1.973427,0.407555
20,0,1.977235,0.393672
20,1,1.970209,0.387325
21,0,1.964113,0.360225
21,1,1.957611,0.344965
22,0,1.957114,0.341173
22,1,1.952266,0.336095
23,0,1.963249,0.301299
23,1,1.959237,0.304657
24,0,1.974338,0.268014
24,1,1.969937,0.262244
25,0,1.989962,0.270944
25,1,1.984210,0.262034
26,0,1.994520,0.239475
26,1,1.989553,0.228570
27,0,2.006922,0.225951
27,1,2.003507,0.218978
28,0,2.018255,0.222463
28,1,2.018311,0.214092
29,0,2.036046,0.222190
29,1,2.030597,0.212569
30,0,2.034565,0.221640
30,1,2.030016,0.211830
31,0,2.032716,0.227930
31,1,2.028903,0.219033
32,0,2.047678,0.224484
32,1,2.044884,0.220573
33,0,2.044541,0.236136
33,1,2.039634,0.224101
34,0,2.038098,0.234127
34,1,2.033798,0.222352
35,0,2.038238,0.224632
35,1,2.032203,0.215718
36,0,2.047575,0.211952
36,1,2.044870,0.208070
37,0,2.057273,0.204933
37,1,2.053201,0.198407
38,0,2.064420,0.222960
38,1,2.059835,0.216741
39,0,2.060559,0.217460
39,1,2.058427,0.214743
40,0,2.064944,0.228780
40,1,2.063794,0.224735
41,0,2.073471,0.231751
41,1,2.071383,0.224446
42,0,2.074079,0.208681
42,1,2.070662,0.202018
43,0,2.088806,0.185820
43,1,2.085705,0.178800
44,0,2.100207,0.180462
44,1,2.098733,0.174041
45,0,2.101704,0.190873
45,1,2.098445,0.182783
46,0,2.111744,0.186760
46,1,2.109330,0.182130
47,0,2.108445,0.185677
47,1,2.103591,0.174499
48,0,2.104704,0.162385
48,1,2.102475,0.156126
49,0,2.111641,0.154288
49,1,2.109275,0.149761
50,0,2.108598,0.148929
50,1,2.108335,0.148156
51,0,2.123801,0.130656
51,1,2.120446,0.124804
52,0,2.124298,0.153364
52,1,2.121277,0.146720
53,0,2.114327,0.152229
53,1,2.112995,0.148998
54,0,2.119941,0.140402
54,1,2.118350,0.134067
55,0,2.125024,0.135114
55,1,2.123346,0.130125
56,0,2.127360,0.160386
56,1,2.125189,0.154929
57,0,2.127736,0.165580
57,1,2.124120,0.160092
58,0,2.133612,0.154692
58,1,2.130864,0.152404
59,0,2.137521,0.159876
59,1,2.134414,0.152658
60,0,2.152756,0.166372
60,1,2.149656,0.159729
61,0,2.147280,0.195506
61,1,2.144130,0.187996
62,0,2.151854,0.184710
62,1,2.148570,0.176087
63,0,2.161939,0.173499
63,1,2.159178,0.166678
64,0,2.152013,0.172904
64,1,2.150498,0.166995
65,0,2.158495,0.189957
65,1,2.156307,0.182844
66,0,2.156198,0.186068
66,1,2.152489,0.179512
67,0,2.151292,0.184495
67,1,2.148467,0.177050
68,0,2.152321,0.184658
68,1,2.150140,0.179621
69,0,2.159995,0.199067
69,1,2.158056,0.194992
70,0,2.157773,0.204607
70,1,2.157564,0.203946
71,0,2.171442,0.200702
71,1,2.170527,0.194421
72,0,2.175141,0.193479
72,1,2.172788,0.186810
73,0,2.175838,0.186431
73,1,2.173813,0.180568
74,0,2.186122,0.197876
74,1,2.184181,0.195267
75,0,2.199808,0.172784
75,1,2.196581,0.164868
76,0,2.212385,0.152773
76,1,2.210187,0.147905
77,0,2.221872,0.167328
77,1,2.218955,0.160674
78,0,2.221745,0.175040
78,1,2.218937,0.167203
79,0,2.215224,0.174620
79,1,2.213115,0.172090
80,0,2.216594,0.166383
80,1,2.214465,0.161360
81,0,2.206543,0.145757
81,1,2.203512,0.140113
82,0,2.208221,0.146494
82,1,2.205382,0.141747
83,0,2.210644,0.149555
83,1,2.208278,0.144835
84,0,2.205144,0.158511
84,1,2.199545,0.147635
85,0,2.193984,0.154358
85,1,2.190565,0.148946
86,0,2.181906,0.156592
86,1,2.180979,0.149113
87,0,2.184966,0.155205
87,1,2.181188,0.146428
88,0,2.181901,0.161213
88,1,2.179863,0.152335
89,0,2.181583,0.145304
